MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
1484890014,80000,8H7p,8H7p.00,Referral to community alcohol team,390857005,1484890014,,40
1221271018,60000000,136,136..00,Alcohol consumption,160573003,1221271018,,17
502017010,800000,E23-2,E23..12,Alcohol problem drinking,7200002,502017010,,32
500478011,1000000,E23,E23..00,Alcohol dependence syndrome,66590003,500478011,,32
461112017,20000,ZV6D6,ZV6D600,Alcoholism counselling,24165007,1206287010,,32
460926018,8000,ZV57A,ZV57A00,[V]Alcohol rehabilitation,4.72E+14,1.00E+15,,32
451082013,20000,ZV4KC,ZV4KC00,[V] Alcohol use,219006,1460010,,32
409423019,7000,38Dz,38Dz.00,Severity of alcohol dependence questionnaire score,443504004,2839850016,,32
408548014,3000000,38D3,38D3.00,Alcohol use disorders identification test score,443280005,2837707014,,3
401797010,100000,E250,E250.00,Nondependent alcohol abuse,268645007,401797010,,32
353698013,10000,J6710,J671000,Alcohol-induced chronic pancreatitis,235952002,353698013,,32
353587018,20000,J617,J617.00,Alcoholic hepatitis,235875008,353587018,,32
346929012,6000,E012-1,E012.11,Alcoholic dementia,281004,1225776018,,32
303399018,80000,J613,J613.00,Alcoholic liver damage,41309000,68906017,,32
295765017,10000,Eu10,Eu10.00,Alcohol-induced organic mental disorder,29212009,48886010,,32
295255012,5000,E250z,E250z00,Nondependent alcohol abuse NOS,268645007,401797010,,32
295251015,40000,E2500,E250000,"Nondependent alcohol abuse, unspecified",268645007,401797010,,32
295144019,100000,E23z,E23z.00,Alcohol dependence syndrome NOS,66590003,500478011,,32
295143013,6000,E231z,E231z00,Chronic alcoholism NOS,66590003,110629012,,32
295142015,5000,E2313,E231300,Chronic alcoholism in remission,191813001,295142015,,32
295139014,9000,E2311,E231100,Continuous chronic alcoholism,191811004,295139014,,32
295136019,60000,E2310,E231000,Alcohol dependence,66590003,110628016,,32
295127018,10000,E230,E230.00,Acute alcoholic intoxication in alcoholism,191802004,295127018,,32
294674018,80000,E01y0,E01y000,Alcohol withdrawal syndrome,191480000,294674018,,32
283559019,10000,8H35,8H35.00,Admitted to alcohol detoxification centre,183486001,283559019,,40
283028013,100000,8CE1,8CE1.00,Alcohol leaflet given,183098002,283028013,,32
265094011,70000,67A5,67A5.00,Pregnancy alcohol education,171057006,2575655011,,17
254305017,7000,2577,2577,O/E - breath - alcohol smell,163184002,254305017,,27
251626014,60000,1462,1462,H/O: alcoholism,161466001,251626014,,32
250340014,1000000,136L,136L.00,Alcohol intake within recommended sensible limits,160593006,250340014,,17
250335018,200000,136K,136K.00,Alcohol intake above recommended sensible limits,160592001,250335018,,17
250318017,70000,1368,1368,Alcohol consumption unknown,160580001,250318017,,17
250317010,400000,1367,1367,Stopped drinking alcohol,160579004,250317010,,17
216585018,20000,9NN2,9NN2.00,Under care of community alcohol team,135827004,216585018,,37
138527014,10000,G555,G555.00,Alcoholic cardiomyopathy,83521008,138527014,,32
110629012,60000,E231,E231.00,Chronic alcoholism,66590003,110629012,,32
106878015,10000,8BA8,8BA8.00,Alcohol detoxification,64297001,106878015,,32
83834016,40000,J610,J610.00,Alcoholic fatty liver,50325005,83834016,,32
17390014,10000,J611,J611.00,Acute alcoholic hepatitis,9953008,17390014,,32
14103017,5000,F375,F375.00,Alcohol-induced polyneuropathy,7916009,14104011,,32
12878014,200000,E23-1,E23..11,Alcoholism,66590003,110629012,,32
4525015,30000,J153,J153.00,Alcoholic gastritis,2043009,4525015,,32
